Step,Tumor Cells,Necrotic Cells,Growth Rate
149,901234567.9012346,3629629629.6296296,-0.02666666666666665
150,901234567.9012346,3641975308.6419754,0.0
151,876543209.8765432,3679012345.6790123,-0.027397260273972716
152,876543209.8765432,3703703703.703704,0.0
153,864197530.8641975,3728395061.728395,-0.014084507042253513
154,876543209.8765432,3728395061.728395,0.014285714285714278
155,876543209.8765432,3753086419.7530866,0.0
156,876543209.8765432,3753086419.7530866,0.0
157,839506172.8395061,3790123456.7901235,-0.04225352112676054
158,839506172.8395061,3790123456.7901235,0.0
159,827160493.8271605,3802469135.8024693,-0.014705882352941168
160,814814814.8148148,3827160493.8271604,-0.01492537313432835
161,814814814.8148148,3851851851.851852,0.0
162,777777777.7777778,3888888888.888889,-0.04545454545454543
163,765432098.7654321,3901234567.9012346,-0.01587301587301586
164,740740740.7407408,3950617283.9506173,-0.03225806451612901
165,728395061.7283951,3962962962.962963,-0.016666666666666656
166,703703703.7037038,3987654320.987654,-0.03389830508474574
167,716049382.7160494,4000000000.0,0.017543859649122796
168,703703703.7037038,4012345679.012346,-0.017241379310344817
169,654320987.654321,4061728395.0617285,-0.07017543859649135
170,666666666.6666666,4061728395.0617285,0.018867924528301876
171,641975308.6419753,4086419753.0864196,-0.037037037037037014
172,617283950.6172839,4111111111.111111,-0.03846153846153844
173,604938271.6049383,4135802469.1358023,-0.01999999999999999
174,617283950.6172839,4148148148.148148,0.02040816326530611
175,617283950.6172839,4148148148.148148,0.0
176,604938271.6049383,4172839506.1728396,-0.01999999999999999
177,592592592.5925926,4209876543.2098765,-0.02040816326530611
178,580246913.5802469,4222222222.2222223,-0.020833333333333322
179,567901234.5679013,4246913580.2469134,-0.021276595744680837
180,567901234.5679013,4246913580.2469134,0.0
181,555555555.5555556,4271604938.271605,-0.021739130434782594
182,543209876.5432099,4283950617.283951,-0.02222222222222221
183,530864197.5308642,4296296296.296296,-0.02272727272727282
184,518518518.5185185,4308641975.308642,-0.023255813953488358
185,530864197.5308642,4308641975.308642,0.023809523809523794
186,530864197.5308642,4308641975.308642,0.0
187,530864197.5308642,4320987654.320988,0.0
188,530864197.5308642,4320987654.320988,0.0
189,493827160.49382716,4370370370.370371,-0.06976744186046507
190,518518518.5185185,4370370370.370371,0.04999999999999997
191,506172839.50617284,4382716049.382716,-0.023809523809523794
192,518518518.5185185,4382716049.382716,0.02439024390243901
193,518518518.5185185,4395061728.3950615,0.0
194,506172839.50617284,4419753086.419753,-0.023809523809523794
195,493827160.49382716,4432098765.432098,-0.02439024390243901
196,469135802.4691358,4469135802.469136,-0.04999999999999997
197,444444444.4444444,4493827160.493827,-0.052631578947368515
198,432098765.43209875,4506172839.506173,-0.027777777777777762
199,419753086.4197531,4518518518.518518,-0.028571428571428557
200,419753086.4197531,4530864197.530864,0.0
201,444444444.4444444,4530864197.530864,0.05882352941176467
202,432098765.43209875,4555555555.555555,-0.027777777777777762
203,432098765.43209875,4555555555.555555,0.0
204,432098765.43209875,4555555555.555555,0.0
205,432098765.43209875,4567901234.567902,0.0
206,444444444.4444444,4567901234.567902,0.028571428571428557
207,456790123.45679015,4567901234.567902,0.027777777777777898
208,456790123.45679015,4580246913.580247,0.0
209,444444444.4444444,4604938271.6049385,-0.02702702702702714
210,444444444.4444444,4604938271.6049385,0.0
211,456790123.45679015,4604938271.6049385,0.027777777777777898
212,444444444.4444444,4617283950.617284,-0.02702702702702714
213,444444444.4444444,4617283950.617284,0.0
214,407407407.4074074,4654320987.654321,-0.08333333333333329
215,395061728.39506173,4666666666.666667,-0.030303030303030287
216,395061728.39506173,4666666666.666667,0.0
217,382716049.38271606,4679012345.679012,-0.031249999999999983
218,370370370.3703704,4691358024.691358,-0.03225806451612901
219,358024691.3580247,4703703703.703704,-0.03333333333333331
220,358024691.3580247,4703703703.703704,0.0
221,358024691.3580247,4703703703.703704,0.0
222,345679012.34567904,4716049382.716049,-0.034482758620689634
223,345679012.34567904,4716049382.716049,0.0
224,345679012.34567904,4716049382.716049,0.0
225,345679012.34567904,4716049382.716049,0.0
226,333333333.3333333,4728395061.728395,-0.035714285714285865
227,333333333.3333333,4728395061.728395,0.0
228,333333333.3333333,4728395061.728395,0.0
229,333333333.3333333,4728395061.728395,0.0
230,333333333.3333333,4728395061.728395,0.0
231,333333333.3333333,4728395061.728395,0.0
232,333333333.3333333,4728395061.728395,0.0
233,320987654.32098764,4740740740.740741,-0.037037037037037014
234,283950617.2839506,4777777777.777778,-0.11538461538461532
235,271604938.27160496,4790123456.790124,-0.04347826086956519
236,259259259.25925925,4802469135.802469,-0.04545454545454553
237,259259259.25925925,4802469135.802469,0.0
238,246913580.24691358,4814814814.814815,-0.04761904761904759
239,246913580.24691358,4814814814.814815,0.0
240,246913580.24691358,4814814814.814815,0.0
241,234567901.2345679,4827160493.827161,-0.04999999999999997
242,234567901.2345679,4827160493.827161,0.0
243,234567901.2345679,4827160493.827161,0.0
244,222222222.2222222,4839506172.839506,-0.052631578947368515
245,197530864.19753087,4864197530.864198,-0.11111111111111105
246,197530864.19753087,4864197530.864198,0.0
247,185185185.1851852,4876543209.876543,-0.062499999999999965
248,185185185.1851852,4876543209.876543,0.0
249,185185185.1851852,4876543209.876543,0.0
250,185185185.1851852,4876543209.876543,0.0
251,172839506.17283952,4888888888.888889,-0.06666666666666662
252,172839506.17283952,4888888888.888889,0.0
253,172839506.17283952,4888888888.888889,0.0
254,172839506.17283952,4888888888.888889,0.0
255,160493827.16049382,4901234567.901235,-0.07142857142857155
256,160493827.16049382,4901234567.901235,0.0
257,160493827.16049382,4901234567.901235,0.0
258,135802469.13580248,4925925925.925926,-0.15384615384615377
259,135802469.13580248,4925925925.925926,0.0
260,135802469.13580248,4938271604.9382715,0.0
261,111111111.1111111,4962962962.962963,-0.1818181818181819
262,111111111.1111111,4962962962.962963,0.0
263,111111111.1111111,4962962962.962963,0.0
264,111111111.1111111,4962962962.962963,0.0
265,111111111.1111111,4962962962.962963,0.0
266,111111111.1111111,4962962962.962963,0.0
267,111111111.1111111,4962962962.962963,0.0
268,111111111.1111111,4962962962.962963,0.0
269,111111111.1111111,4962962962.962963,0.0
270,111111111.1111111,4962962962.962963,0.0
271,111111111.1111111,4962962962.962963,0.0
